OCR Corrections — 2515 substitutions across 246 entries
========================================================================
DATE         RULE             ORIGINAL                     CORRECTED
------------------------------------------------------------------------
1941-12-07   hyphen_join      con-tacts                    contacts
1941-12-07   hyphen_join      in-stead                     instead
1941-12-07   hyphen_join      prob-ably                    probably
1941-12-07   hyphen_join      proceed-ing                  proceeding
1941-12-08   hyphen_join      des-troyer                   destroyer
1941-12-08   hyphen_join      con-tact                     contact
1941-12-08   hyphen_join      separa-ted                   separated
1941-12-08   hyphen_join      de-layed                     delayed
1941-12-09   hyphen_join      follow-ing                   following
1941-12-09   hyphen_join      bomb-ing                     bombing
1941-12-10   hyphen_join      pro-tection                  protection
1941-12-10   hyphen_join      avail-able                   available
1941-12-10   hyphen_join      magnifi-cent                 magnificent
1941-12-10   hyphen_join      immedi-ately                 immediately
1941-12-10   hyphen_join      Marsh-alls                   Marshalls
1941-12-10   hyphen_join      Pro-tect                     Protect
1941-12-10   hyphen_join      terri-tory                   territory
1941-12-10   hyphen_join      determin-ation               determination
1941-12-10   hyphen_join      over-haul                    overhaul
1941-12-10   hyphen_join      air-craft                    aircraft
1941-12-10   hyphen_join      mainten-ance                 maintenance
1941-12-10   hyphen_join      estab-lishment               establishment
1941-12-10   hyphen_join      battle-ships                 battleships
1941-12-10   hyphen_join      disposi-tion                 disposition
1941-12-10   hyphen_join      de-layed                     delayed
1941-12-10   hyphen_join      finan-cial                   financial
1941-12-10   hyphen_join      expedi-tion                  expedition
1941-12-10   hyphen_join      possibil-ity                 possibility
1941-12-10   hyphen_join      bom-bers                     bombers
1941-12-10   hyphen_join      diffi-culty                  difficulty
1941-12-10   hyphen_join      con-sequent                  consequent
1941-12-10   hyphen_join      particular-ly                particularly
1941-12-10   hyphen_join      opera-tions                  operations
1941-12-10   hyphen_join      replen-ishing                replenishing
1941-12-10   hyphen_join      develop-ments                developments
1941-12-10   hyphen_join      terri-tory                   territory
1941-12-10   hyphen_join      con-sidered                  considered
1941-12-10   hyphen_join      pre-sent                     present
1941-12-10   hyphen_join      Sub-marines                  Submarines
1941-12-10   hyphen_join      destroy-ing                  destroying
1941-12-10   hyphen_join      com-posed                    composed
1941-12-10   hyphen_join      installa-tions               installations
1941-12-10   hyphen_join      sub-paragraph                subparagraph
1941-12-10   hyphen_join      inter-cept                   intercept
1941-12-10   hyphen_join      pro-ceeding                  proceeding
1941-12-10   hyphen_join      out-lying                    outlying
1941-12-10   hyphen_join      practic-able                 practicable
1941-12-10   hyphen_join      informa-tion                 information
1941-12-10   hyphen_join      battle-ships                 battleships
1941-12-10   hyphen_join      opera-tions                  operations
1941-12-10   hyphen_join      there-from                   therefrom
1941-12-10   hyphen_join      rendez-vous                  rendezvous
1941-12-10   hyphen_join      per-sonnel                   personnel
1941-12-10   allcaps_prefix   (INDIANAPOLIS                INDIANAPOLIS
1941-12-10   adjacent_join    pr ecedence                  precedence
1941-12-10   stray_symbol     ho~seland                    hoseland
1941-12-11   hyphen_join      south-westward               southwestward
1941-12-11   hyphen_join      consider-ation               consideration
1941-12-12   stray_punct_prefix .Vest                        Vest
1941-12-14   hyphen_join      ex-cept                      except
1941-12-15   hyphen_join      remain-der                   remainder
1941-12-15   hyphen_join      consider-able                considerable
1941-12-16   hyphen_join      em-bark                      embark
1941-12-16   hyphen_join      diver-sional                 diversional
1941-12-16   hyphen_join      insuffic-ient                insufficient
1941-12-16   hyphen_join      agree-ment                   agreement
1941-12-16   hyphen_join      im-probable                  improbable
1941-12-16   hyphen_join      organ-ized                   organized
1941-12-16   hyphen_join      accord-ance                  accordance
1941-12-16   stray_punct_prefix .Fourteen                    Fourteen
1941-12-16   stray_symbol     lia\y                        liay
1941-12-16   stray_symbol     simultaneo\i3ly              simultaneoi3ly
1941-12-17   hyphen_join      success-ful                  successful
1941-12-17   stray_punct_prefix .Radio                       Radio
1941-12-18   hyphen_join      com-pletely                  completely
1941-12-19   hyphen_join      com-pletely                  completely
1941-12-21   hyphen_join      charac-ter                   character
1941-12-22   hyphen_join      de-liberations               deliberations
1941-12-22   hyphen_join      de-fenses                    defenses
1941-12-23   hyphen_join      de-fenses                    defenses
1941-12-24   hyphen_join      anti-tank                    antitank
1941-12-24   hyphen_join      in-sured                     insured
1941-12-24   hyphen_join      un-til                       until
1941-12-24   hyphen_join      sun-set                      sunset
